policy,date,issue_hour,horizon_intervals,milp_objective_yuan,lp_lower_bound_yuan,milp_minus_lp_yuan,lp_max_primal_violation,runtime_seconds,passed
fixed_w56,2025-04-01,0,144,38933.81648709498,38933.81648709496,1.4551915228366852e-11,4.547473508864641e-13,0.00520666700322181,True
fixed_w56,2025-04-01,6,108,30257.172114435554,30257.172114435558,-3.637978807091713e-12,4.547473508864641e-13,0.004976292002538685,True
fixed_w56,2025-04-01,12,72,25893.161083577106,25893.16108357711,-3.637978807091713e-12,4.547473508864641e-13,0.003551875000994187,True
fixed_w56,2025-04-01,18,36,15195.997313284894,15195.997313284894,0.0,4.547473508864641e-13,0.0019390410016058013,True
fixed_w56,2025-06-21,0,144,19821.57878245573,19821.57878245573,0.0,1.8189894035458565e-12,0.004507207995629869,True
fixed_w56,2025-06-21,6,108,15394.658287420887,15394.658287420889,-1.8189894035458565e-12,9.094947017729282e-13,0.004349417002231348,True
fixed_w56,2025-06-21,12,72,15978.962872830993,15978.96287283099,1.8189894035458565e-12,9.094947017729282e-13,0.0032727500001783483,True
fixed_w56,2025-06-21,18,36,12908.494758144278,12908.494758144276,1.8189894035458565e-12,9.094947017729282e-13,0.001872291999461595,True
fixed_w56,2025-09-23,0,144,40551.2297397975,40551.22973979749,7.275957614183426e-12,4.547473508864641e-13,0.00460729200131027,True
fixed_w56,2025-09-23,6,108,29184.387687894585,29184.38768789458,3.637978807091713e-12,4.547473508864641e-13,0.014672290999442339,True
fixed_w56,2025-09-23,12,72,27427.964977179457,27427.964977179454,3.637978807091713e-12,1.7053025658242404e-13,0.003414833001443185,True
fixed_w56,2025-09-23,18,36,17682.39271042854,17682.39271042854,0.0,1.7053025658242404e-13,0.0019967500047641806,True
fixed_w56,2025-12-21,0,144,60083.15664451408,60083.15664451406,1.4551915228366852e-11,9.094947017729282e-13,0.004556041996693239,True
